Percipitation,date (mm/dd/yyyy)
5,5/19/2013
7,5/20/2013
16,5/21/2013
11,5/22/2013
0,5/23/2013
2,5/24/2013
18,5/25/2013
17,5/26/2013
0,5/27/2013
0,5/28/2013
3,5/29/2013
5,5/30/2013
8,5/31/2013
17,6/1/2013
15,6/2/2013
10,6/3/2013
15,6/4/2013
5,6/5/2013
2,6/6/2013
1,6/7/2013
18,6/8/2013
11,6/9/2013
8,6/10/2013
15,6/11/2013
5,6/12/2013
0,6/13/2013
20,6/14/2013
3,6/15/2013
18,6/16/2013
4,6/17/2013
17,6/18/2013
7,6/19/2013
5,6/20/2013
13,6/21/2013
4,6/22/2013
6,6/23/2013
1,6/24/2013
14,6/25/2013
10,6/26/2013
13,6/27/2013
2,6/28/2013
8,6/29/2013
13,6/30/2013
1,7/1/2013
14,7/2/2013
0,7/3/2013
9,7/4/2013
7,7/5/2013
16,7/6/2013
18,7/7/2013
14,7/8/2013
2,7/9/2013
10,7/10/2013
12,7/11/2013
20,7/12/2013
17,7/13/2013
12,7/14/2013
0,7/15/2013
12,7/16/2013
19,7/17/2013
11,7/18/2013
16,7/19/2013
4,7/20/2013
10,7/21/2013
12,7/22/2013
4,7/23/2013
6,7/24/2013
11,7/25/2013
2,7/26/2013
2,7/27/2013
17,7/28/2013
15,7/29/2013
0,7/30/2013
19,7/31/2013
14,8/1/2013
10,8/2/2013
9,8/3/2013
16,8/4/2013
0,8/5/2013
7,8/6/2013
1,8/7/2013
8,8/8/2013
11,8/9/2013
10,8/10/2013
14,8/11/2013
4,8/12/2013
4,8/13/2013
9,8/14/2013
4,8/15/2013
4,8/16/2013
10,8/17/2013
5,8/18/2013
15,8/19/2013
20,8/20/2013
18,8/21/2013
19,8/22/2013
13,8/23/2013
11,8/24/2013
12,8/25/2013
7,8/26/2013
18,8/27/2013
6,8/28/2013
0,8/29/2013
6,8/30/2013
19,8/31/2013
19,9/1/2013
5,9/2/2013
1,9/3/2013
12,9/4/2013
15,9/5/2013
16,9/6/2013
7,9/7/2013
20,9/8/2013
0,9/9/2013
18,9/10/2013
15,9/11/2013
3,9/12/2013
13,9/13/2013
19,9/14/2013
13,9/15/2013
7,9/16/2013
3,9/17/2013
1,9/18/2013
0,9/19/2013
12,9/20/2013
9,9/21/2013
13,9/22/2013
11,9/23/2013
1,9/24/2013
10,9/25/2013
12,9/26/2013
0,9/27/2013
0,9/28/2013
3,9/29/2013
3,9/30/2013
3,10/1/2013
1,10/2/2013
1,10/3/2013
2,10/4/2013
3,10/5/2013
0,10/6/2013
2,10/7/2013
3,10/8/2013
0,10/9/2013
2,10/10/2013
5,10/11/2013
0,10/12/2013
4,10/13/2013
4,10/14/2013
0,10/15/2013
0,10/16/2013
2,10/17/2013
4,10/18/2013
4,10/19/2013
3,10/20/2013
5,10/21/2013
5,10/22/2013
0,10/23/2013
2,10/24/2013
3,10/25/2013
4,10/26/2013
5,10/27/2013
5,10/28/2013
2,10/29/2013
4,10/30/2013
5,10/31/2013
5,11/1/2013
5,11/2/2013
2,11/3/2013
2,11/4/2013
3,11/5/2013
4,11/6/2013
1,11/7/2013
4,11/8/2013
3,11/9/2013
2,11/10/2013
3,11/11/2013
0,11/12/2013
0,11/13/2013
5,11/14/2013
5,11/15/2013
0,11/16/2013
2,11/17/2013
4,11/18/2013
3,11/19/2013
3,11/20/2013
1,11/21/2013
3,11/22/2013
5,11/23/2013
3,11/24/2013
5,11/25/2013
1,11/26/2013
2,11/27/2013
3,11/28/2013
0,11/29/2013
5,11/30/2013
1,12/1/2013
3,12/2/2013
5,12/3/2013
5,12/4/2013
1,12/5/2013
1,12/6/2013
1,12/7/2013
2,12/8/2013
2,12/9/2013
4,12/10/2013
5,12/11/2013
2,12/12/2013
4,12/13/2013
3,12/14/2013
2,12/15/2013
1,12/16/2013
5,12/17/2013
1,12/18/2013
1,12/19/2013
3,12/20/2013
1,12/21/2013
1,12/22/2013
4,12/23/2013
4,12/24/2013
4,12/25/2013
1,12/26/2013
2,12/27/2013
4,12/28/2013
2,12/29/2013
5,12/30/2013
5,12/31/2013
